ID,Ten,GioiTinh,ChucVu,PhongBan,HieuSuat,NgayVaoLam,TrangThai,Luong,Thuong,SoDienThoai,Email
33,Hoang Hong Nam,Nu,Truong phong,Ke toan,63,2021-04-04,Dang lam viec,18763674,3529513,0027524416,hoanghongnam902@yahoo.com
34,Pham Ngoc Chi,Nam,Truong phong,IT,99,2024-03-19,Da nghi viec,12898611,4217810,0999263954,phamngocchi432@company.vn
35,Pham Duc Chi,Nam,Quan ly,IT,98,2020-11-05,Da nghi viec,28614227,3582402,0333928142,phamducchi765@company.vn
36,Le Quang Dung,Nu,Nhan vien,IT,80,2023-08-03,Da nghi viec,24547395,5056610,0756523957,lequangdung591@yahoo.com
37,Do Ngoc Chi,Nam,Truong phong,Ke toan,63,2022-10-12,Dang lam viec,10677442,4335444,0696598702,dongocchi544@company.vn
38,Bui Quang Dung,Nu,Quan ly,IT,78,2022-03-27,Dang lam viec,17937800,5813042,0885131612,buiquangdung964@yahoo.com
39,Vu Quang An,Nu,Quan ly,Ke toan,91,2022-10-26,Dang lam viec,19135679,1739683,0517739956,vuquangan742@yahoo.com
40,Hoang Minh Trang,Nam,Quan ly,HR,100,2024-12-18,Da nghi viec,11091654,3448514,0889939317,hoangminhtrang239@yahoo.com
41,Hoang Minh Dung,Nu,Nhan vien,Ke toan,78,2018-08-04,Da nghi viec,10332272,2633781,0197887974,hoangminhdung327@gmail.com
42,Pham Quang Chi,Nu,Truong phong,IT,62,2018-09-21,Dang lam viec,17938209,3489335,0041881922,phamquangchi631@gmail.com
43,Dang Minh Linh,Nam,Truong phong,IT,92,2019-11-04,Da nghi viec,20609374,7918070,0025487728,dangminhlinh990@yahoo.com
44,Phan Hong Binh,Nam,Quan ly,Ke toan,85,2022-07-21,Dang lam viec,11545772,3943686,0108683445,phanhongbinh772@yahoo.com
45,Do Hong Giang,Nu,Truong phong,Ke toan,97,2020-01-03,Dang lam viec,12563943,2138859,0281777327,dohonggiang629@company.vn
46,Bui Thi Chi,Nam,Truong phong,HR,79,2019-12-19,Da nghi viec,9195984,2771700,0800900378,buithichi527@company.vn
47,Vu Ngoc Giang,Nam,Quan ly,HR,69,2022-08-23,Dang lam viec,19878863,3976691,0188982836,vungocgiang372@company.vn
48,Bui Thi Hoa,Nu,Truong phong,IT,85,2024-09-03,Dang lam viec,21460929,5845915,0577482969,buithihoa782@company.vn
49,Hoang Thanh An,Nu,Quan ly,Ke toan,78,2023-08-27,Da nghi viec,21976154,4625871,0434255900,hoangthanhan2@company.vn
50,Bui Thi Hoa,Nam,Truong phong,Marketing,86,2019-09-21,Dang lam viec,14912459,4815118,0380516312,buithihoa338@gmail.com
51,Phan Thi An,Nu,Quan ly,Ke toan,78,2023-09-13,Da nghi viec,13903294,2626333,0870284626,phanthian190@gmail.com
52,Le Thanh Khanh,Nu,Nhan vien,HR,99,2020-01-28,Da nghi viec,18689775,3330623,0819683866,lethanhkhanh250@yahoo.com
53,Bui Van Nam,Nam,Quan ly,IT,94,2023-11-02,Dang lam viec,17975315,2553824,0626170312,buivannam188@gmail.com
54,Dang Thanh Dung,Nu,Nhan vien,Marketing,63,2024-01-11,Dang lam viec,11397001,5936557,0210276082,dangthanhdung749@gmail.com
55,Do Duc Giang,Nam,Nhan vien,IT,90,2022-06-19,Dang lam viec,21628325,7019484,0272200084,doducgiang433@gmail.com
56,Phan Ngoc Dung,Nu,Nhan vien,IT,94,2022-03-19,Da nghi viec,14783252,6010257,0637839526,phanngocdung75@yahoo.com
57,Nguyen Thi Chi,Nu,Truong phong,Ke toan,63,2021-06-22,Dang lam viec,21685960,2598230,0250413527,nguyenthichi753@yahoo.com
58,Do Thi Trang,Nu,Quan ly,IT,90,2023-07-02,Da nghi viec,16107151,2089493,0550337535,dothitrang653@gmail.com
59,Dang Quang Khanh,Nam,Truong phong,Ke toan,91,2024-06-05,Dang lam viec,13949822,4458654,0168851502,dangquangkhanh154@yahoo.com
60,Nguyen Quang Hoa,Nu,Truong phong,Marketing,72,2024-01-28,Da nghi viec,23870958,3356135,0399693148,nguyenquanghoa793@yahoo.com
61,Nguyen Hong Chi,Nam,Nhan vien,IT,73,2018-03-23,Da nghi viec,21592546,7137406,0669843661,nguyenhongchi684@company.vn
62,Do Hong Linh,Nam,Nhan vien,HR,93,2018-11-28,Da nghi viec,18622606,2090906,0021746041,dohonglinh847@yahoo.com
63,Do Van Linh,Nu,Nhan vien,Marketing,66,2019-10-12,Da nghi viec,23632922,3263889,0488686240,dovanlinh870@company.vn
64,Nguyen Quang An,Nu,Truong phong,Ke toan,94,2024-10-07,Dang lam viec,19958602,2509153,0798112760,nguyenquangan431@yahoo.com
65,Pham Minh Hoa,Nam,Quan ly,Marketing,89,2024-08-14,Dang lam viec,16953662,5988477,0810897350,phamminhhoa264@gmail.com
66,Bui Quang Hoa,Nu,Nhan vien,HR,87,2018-07-14,Da nghi viec,17330761,2296654,0654305158,buiquanghoa19@yahoo.com
67,Vu Hong Khanh,Nam,Truong phong,HR,65,2021-11-20,Da nghi viec,18871555,3496306,0240155623,vuhongkhanh740@yahoo.com
68,Pham Thi Binh,Nam,Nhan vien,Marketing,100,2019-06-10,Da nghi viec,18225498,2114087,0549840482,phamthibinh804@company.vn
69,Bui Ngoc Binh,Nu,Quan ly,IT,77,2021-12-18,Dang lam viec,23767960,5586690,0603976134,buingocbinh830@company.vn
70,Do Minh Dung,Nam,Truong phong,IT,94,2021-10-13,Dang lam viec,26770948,7640734,0538781534,dominhdung616@company.vn
71,Tran Ngoc Trang,Nu,Quan ly,HR,69,2022-12-18,Da nghi viec,18452389,2637969,0144642271,tranngoctrang126@gmail.com
72,Pham Van Dung,Nu,Truong phong,Marketing,78,2021-02-25,Dang lam viec,14161978,5529948,0616147054,phamvandung36@gmail.com
73,Nguyen Duc Linh,Nu,Nhan vien,Marketing,84,2022-04-05,Da nghi viec,13155426,5223183,0426856520,nguyenduclinh671@yahoo.com
74,Vu Thanh Hoa,Nam,Quan ly,HR,91,2021-07-23,Dang lam viec,10307597,2490676,0678965465,vuthanhhoa617@yahoo.com
75,Bui Hong Trang,Nam,Truong phong,IT,73,2018-12-13,Da nghi viec,25401828,3770210,0799165177,buihongtrang87@yahoo.com
76,Dang Thanh Khanh,Nu,Truong phong,Ke toan,63,2020-10-19,Da nghi viec,12458693,3084248,0844706296,dangthanhkhanh896@gmail.com
77,Do Minh An,Nu,Nhan vien,HR,69,2024-06-19,Da nghi viec,15317430,2028178,0314898089,dominhan736@yahoo.com
78,Pham Duc Linh,Nu,Quan ly,IT,60,2019-07-12,Da nghi viec,19545857,3521916,0429118331,phamduclinh623@yahoo.com
79,Hoang Quang Linh,Nam,Quan ly,Ke toan,68,2024-05-31,Dang lam viec,14535092,2276847,0166928380,hoangquanglinh950@gmail.com
80,Pham Thi Hoa,Nu,Nhan vien,Ke toan,87,2022-11-05,Dang lam viec,17258034,2469717,0030488746,phamthihoa302@yahoo.com
81,Hoang Minh Hoa,Nam,Quan ly,Marketing,98,2022-12-08,Dang lam viec,23554431,4891483,0968985001,hoangminhhoa963@company.vn
82,Do Thi Binh,Nam,Truong phong,HR,86,2021-08-08,Da nghi viec,17264988,2362580,0425694632,dothibinh802@company.vn
83,Nguyen Duc Nam,Nam,Quan ly,IT,79,2024-01-20,Dang lam viec,28481010,4245663,0886046098,nguyenducnam340@yahoo.com
84,Do Thi Hoa,Nam,Nhan vien,IT,65,2019-08-06,Da nghi viec,28242754,7058592,0209215799,dothihoa274@gmail.com
85,Tran Van An,Nu,Truong phong,Ke toan,70,2023-09-19,Dang lam viec,21038634,3442159,0652891540,tranvanan190@yahoo.com
86,Do Quang Binh,Nam,Quan ly,IT,76,2018-06-15,Dang lam viec,27059993,5531251,0290043771,doquangbinh216@gmail.com
87,Hoang Thanh Nam,Nu,Quan ly,IT,95,2024-11-21,Dang lam viec,26575030,7122048,0431304317,hoangthanhnam826@gmail.com
88,Nguyen Duc Giang,Nam,Quan ly,Ke toan,90,2018-11-03,Dang lam viec,20511191,3365145,0797379822,nguyenducgiang896@gmail.com
89,Le Thi Binh,Nu,Nhan vien,Marketing,100,2022-05-11,Dang lam viec,13601421,4378402,0157435851,lethibinh881@gmail.com
90,Phan Thanh Khanh,Nu,Truong phong,HR,99,2019-01-26,Da nghi viec,10491464,2939181,0631369436,phanthanhkhanh382@gmail.com
91,Vu Ngoc Hoa,Nam,Quan ly,HR,75,2024-08-14,Da nghi viec,15630692,1327017,0878963918,vungochoa806@company.vn
92,Nguyen Hong Binh,Nam,Quan ly,IT,89,2021-07-07,Dang lam viec,28467522,5887776,0996238581,nguyenhongbinh592@company.vn
93,Phan Thi Nam,Nu,Truong phong,HR,83,2018-09-02,Da nghi viec,11594948,2835494,0878729686,phanthinam59@yahoo.com
94,Tran Duc An,Nu,Nhan vien,IT,95,2020-02-13,Da nghi viec,19128893,6941800,0992162393,tranducan621@yahoo.com
95,Dang Thanh Hoa,Nu,Truong phong,HR,81,2022-09-21,Da nghi viec,10712105,1348126,0890167087,dangthanhhoa974@gmail.com
96,Dang Minh Chi,Nu,Nhan vien,HR,60,2019-09-04,Da nghi viec,11887463,2142840,0866613863,dangminhchi219@company.vn
97,Bui Quang Nam,Nu,Nhan vien,Marketing,70,2018-07-15,Dang lam viec,18818114,2804524,0969198413,buiquangnam60@yahoo.com
98,Tran Minh Chi,Nu,Truong phong,HR,100,2023-11-11,Dang lam viec,19913800,3184829,0261233094,tranminhchi652@company.vn
99,Pham Quang Chi,Nu,Quan ly,Ke toan,77,2024-06-14,Dang lam viec,20173791,4799525,0160211295,phamquangchi248@yahoo.com
100,Le Ngoc Nam,Nu,Quan ly,Ke toan,60,2023-05-06,Dang lam viec,16137620,2401533,0710882079,lengocnam30@yahoo.com
101,Le Thanh An,Nam,Truong phong,Ke toan,73,2018-10-16,Da nghi viec,14880295,4280368,0720578934,lethanhan277@gmail.com
102,Bui Thanh Hoa,Nu,Truong phong,Marketing,80,2024-09-15,Dang lam viec,24541039,2431022,0569684255,buithanhhoa602@company.vn
103,Tran Quang Dung,Nu,Truong phong,Marketing,100,2018-03-02,Dang lam viec,16270679,2098227,0674784829,tranquangdung518@company.vn
104,Tran Ngoc Linh,Nu,Truong phong,Marketing,89,2023-04-07,Dang lam viec,24087535,4214146,0236091718,tranngoclinh638@yahoo.com
105,Pham Ngoc Nam,Nu,Truong phong,Marketing,65,2020-12-24,Dang lam viec,24381531,5396170,0395022754,phamngocnam957@yahoo.com
106,Phan Van Hoa,Nu,Nhan vien,IT,79,2018-03-17,Da nghi viec,24838902,4319434,0131303455,phanvanhoa421@gmail.com
107,Tran Duc Linh,Nam,Nhan vien,Marketing,91,2022-08-11,Dang lam viec,20930231,2586427,0454208261,tranduclinh407@yahoo.com
108,Hoang Thanh Binh,Nu,Truong phong,Marketing,80,2024-01-24,Dang lam viec,20133605,5133839,0153814898,hoangthanhbinh224@company.vn
109,Tran Duc An,Nam,Truong phong,Ke toan,79,2022-05-16,Da nghi viec,13231936,4374232,0199394563,tranducan461@gmail.com
110,Phan Thi Binh,Nam,Quan ly,Marketing,75,2024-02-21,Da nghi viec,18837215,3462251,0884269067,phanthibinh28@gmail.com
111,Bui Duc Linh,Nu,Nhan vien,IT,66,2020-11-22,Da nghi viec,28545733,2530073,0163274212,buiduclinh422@yahoo.com
112,Tran Quang Trang,Nam,Nhan vien,Ke toan,71,2022-07-14,Dang lam viec,10511729,4135180,0357799063,tranquangtrang61@gmail.com
113,Nguyen Thi Trang,Nam,Quan ly,Ke toan,69,2021-04-22,Da nghi viec,21546755,3297507,0172441940,nguyenthitrang904@yahoo.com
114,Tran Thi An,Nu,Nhan vien,HR,86,2020-02-09,Dang lam viec,17188526,1764136,0284738108,tranthian261@yahoo.com
115,Bui Thanh An,Nu,Nhan vien,IT,71,2023-11-29,Da nghi viec,13525956,3347670,0026968199,buithanhan474@yahoo.com
116,Bui Quang An,Nam,Nhan vien,IT,63,2021-12-01,Dang lam viec,18071688,6364431,0476237327,buiquangan183@yahoo.com
117,Tran Ngoc Hoa,Nu,Nhan vien,Ke toan,88,2021-02-08,Dang lam viec,20973459,4473759,0939843190,tranngochoa733@company.vn
118,Vu Quang Chi,Nam,Truong phong,IT,97,2019-11-12,Da nghi viec,24840892,4726163,0678350741,vuquangchi456@company.vn
119,Do Ngoc An,Nu,Truong phong,Ke toan,88,2022-11-16,Dang lam viec,13746199,4178791,0368250993,dongocan130@yahoo.com
120,Tran Thanh Nam,Nu,Quan ly,HR,68,2021-01-29,Da nghi viec,12503772,2790936,0465378279,tranthanhnam736@gmail.com
121,Tran Thi Nam,Nu,Truong phong,HR,91,2020-01-04,Da nghi viec,17084645,3339381,0682342187,tranthinam815@company.vn
122,Hoang Minh Trang,Nu,Truong phong,Marketing,83,2021-08-25,Da nghi viec,11215344,3135134,0491196756,hoangminhtrang897@yahoo.com
123,Do Hong Chi,Nam,Truong phong,Ke toan,97,2020-08-03,Da nghi viec,16926031,2548265,0325570570,dohongchi600@company.vn
124,Do Ngoc An,Nu,Truong phong,IT,83,2018-08-13,Da nghi viec,12076398,7882199,0605600092,dongocan358@gmail.com
125,Vu Ngoc Chi,Nam,Nhan vien,HR,64,2024-08-16,Da nghi viec,18299155,2890233,0415987398,vungocchi510@gmail.com
126,Do Thi Khanh,Nam,Quan ly,IT,70,2019-06-25,Da nghi viec,17757266,7186699,0698483683,dothikhanh95@gmail.com
127,Phan Duc Nam,Nam,Quan ly,Ke toan,66,2021-09-19,Da nghi viec,12631819,3188858,0193264021,phanducnam300@company.vn
128,Phan Quang Khanh,Nam,Quan ly,IT,66,2023-08-11,Dang lam viec,24305107,2887871,0055319548,phanquangkhanh341@gmail.com
129,Nguyen Van Nam,Nam,Nhan vien,Ke toan,77,2018-06-27,Dang lam viec,11763590,4083285,0787471611,nguyenvannam595@company.vn
130,Do Hong Chi,Nu,Truong phong,Ke toan,83,2019-09-08,Dang lam viec,19061090,2304322,0656539497,dohongchi793@yahoo.com
131,Pham Thi Trang,Nam,Truong phong,Ke toan,80,2019-04-10,Da nghi viec,12061386,1991401,0722654745,phamthitrang273@yahoo.com
132,Bui Duc Nam,Nu,Quan ly,IT,91,2022-01-14,Da nghi viec,26360103,2750529,0495129126,buiducnam650@yahoo.com
133,Do Thanh Nam,Nam,Truong phong,Ke toan,66,2018-10-30,Dang lam viec,12596790,1827653,0006412927,dothanhnam247@company.vn
134,Bui Van Binh,Nu,Quan ly,Marketing,75,2021-03-02,Dang lam viec,19761828,5705507,0993523762,buivanbinh115@yahoo.com
135,Tran Ngoc Chi,Nam,Truong phong,Ke toan,74,2022-03-19,Dang lam viec,12225877,4561731,0528875556,tranngocchi76@yahoo.com
136,Hoang Thi Hoa,Nu,Nhan vien,Ke toan,96,2022-11-20,Da nghi viec,18376481,3094899,0026350834,hoangthihoa889@gmail.com
137,Hoang Thanh Trang,Nu,Nhan vien,Marketing,74,2019-03-27,Da nghi viec,17837706,3875618,0670336699,hoangthanhtrang149@yahoo.com
138,Phan Duc Binh,Nam,Quan ly,Ke toan,73,2020-05-24,Da nghi viec,18989863,4341361,0013428038,phanducbinh696@company.vn
139,Pham Ngoc Hoa,Nu,Quan ly,Marketing,96,2023-10-11,Da nghi viec,12452538,5169685,0957879097,phamngochoa462@gmail.com
140,Vu Thi An,Nu,Truong phong,Marketing,68,2022-02-05,Dang lam viec,18808318,2173059,0833064757,vuthian387@company.vn
141,Phan Minh Binh,Nu,Nhan vien,HR,64,2019-04-13,Da nghi viec,12938945,1736766,0653442381,phanminhbinh898@company.vn
142,Phan Quang Linh,Nam,Truong phong,HR,73,2024-03-16,Da nghi viec,19400089,2083132,0777462668,phanquanglinh525@company.vn
143,Phan Van Dung,Nu,Quan ly,Ke toan,86,2020-04-25,Da nghi viec,20228625,3080290,0660002670,phanvandung825@company.vn
144,Hoang Thanh Linh,Nam,Nhan vien,Marketing,84,2019-01-31,Dang lam viec,11944209,4930225,0718307508,hoangthanhlinh913@company.vn
145,Bui Ngoc Linh,Nam,Quan ly,HR,83,2021-09-14,Da nghi viec,14004504,1138162,0497533115,buingoclinh772@gmail.com
146,Pham Van Binh,Nu,Quan ly,HR,68,2022-11-19,Dang lam viec,18155737,2383557,0640927291,phamvanbinh379@yahoo.com
147,Pham Thi Trang,Nu,Truong phong,Ke toan,63,2020-01-18,Da nghi viec,13792094,2375673,0568919596,phamthitrang921@yahoo.com
148,Phan Van Trang,Nam,Nhan vien,HR,61,2023-04-01,Dang lam viec,18415190,1904431,0876189911,phanvantrang4@gmail.com
149,Bui Thi Giang,Nu,Nhan vien,HR,74,2022-08-05,Dang lam viec,17244254,3110489,0492830333,buithigiang211@company.vn
150,Pham Thanh Linh,Nu,Quan ly,IT,90,2024-07-08,Da nghi viec,21331338,6920734,0763822833,phamthanhlinh353@yahoo.com
151,Tran Minh Dung,Nu,Quan ly,Marketing,89,2020-08-17,Da nghi viec,13280363,3186819,0544334197,tranminhdung51@yahoo.com
152,Tran Ngoc Hoa,Nam,Truong phong,Ke toan,78,2023-05-08,Dang lam viec,11577661,2850862,0405802296,tranngochoa817@company.vn
153,Bui Minh Trang,Nam,Nhan vien,HR,68,2020-11-24,Dang lam viec,10300082,2461117,0479801194,buiminhtrang101@yahoo.com
154,Vu Thanh Linh,Nu,Quan ly,Ke toan,86,2019-01-07,Dang lam viec,12181520,3381681,0817175940,vuthanhlinh923@company.vn
155,Pham Ngoc An,Nam,Nhan vien,Marketing,81,2020-10-09,Dang lam viec,12115956,4730745,0835747706,phamngocan426@yahoo.com
156,Phan Thi Binh,Nu,Truong phong,IT,85,2021-04-07,Dang lam viec,24059197,7158161,0294486746,phanthibinh355@company.vn
157,Do Minh Trang,Nu,Quan ly,HR,90,2024-11-25,Da nghi viec,10581837,2365645,0313163283,dominhtrang566@company.vn
158,Hoang Thanh Hoa,Nam,Truong phong,Marketing,84,2019-08-02,Da nghi viec,14568203,2125925,0100949163,hoangthanhhoa556@yahoo.com
159,Vu Thi Chi,Nam,Truong phong,Marketing,97,2018-08-05,Dang lam viec,15294838,2552271,0926850987,vuthichi721@company.vn
160,Vu Ngoc Khanh,Nu,Truong phong,Marketing,78,2018-08-01,Da nghi viec,22981379,2523214,0390108528,vungockhanh43@company.vn
161,Tran Ngoc Hoa,Nu,Quan ly,Marketing,90,2023-12-05,Dang lam viec,17835296,2495424,0467492537,tranngochoa493@gmail.com
162,Nguyen Hong Nam,Nu,Nhan vien,IT,78,2019-12-03,Dang lam viec,27450842,4178851,0182501158,nguyenhongnam309@gmail.com
163,Nguyen Duc Linh,Nam,Truong phong,IT,99,2020-05-02,Da nghi viec,26949329,4843541,0269436369,nguyenduclinh409@gmail.com
164,Bui Van Hoa,Nu,Nhan vien,Ke toan,78,2020-10-11,Da nghi viec,13416953,1582323,0936008599,buivanhoa599@gmail.com
165,Vu Thanh Binh,Nu,Truong phong,Ke toan,65,2018-02-08,Dang lam viec,13927538,4140361,0604059856,vuthanhbinh409@gmail.com
166,Do Van Khanh,Nu,Truong phong,HR,64,2023-03-08,Dang lam viec,9159287,2966769,0600453487,dovankhanh72@gmail.com
167,Tran Duc Nam,Nu,Truong phong,Marketing,98,2022-12-06,Da nghi viec,21852815,4815119,0457548011,tranducnam261@gmail.com
168,Tran Minh Nam,Nu,Truong phong,Marketing,71,2018-06-15,Da nghi viec,20870043,3962937,0251100101,tranminhnam75@gmail.com
169,Tran Van Khanh,Nu,Truong phong,HR,86,2019-03-15,Dang lam viec,12223694,3144456,0093541545,tranvankhanh311@yahoo.com
170,Tran Van Trang,Nu,Quan ly,IT,72,2019-11-11,Da nghi viec,12012475,4342959,0654447210,tranvantrang338@company.vn
171,Bui Ngoc Binh,Nam,Quan ly,Ke toan,72,2022-02-20,Dang lam viec,13630934,2239457,0648769100,buingocbinh639@yahoo.com
172,Phan Van Giang,Nu,Truong phong,Ke toan,94,2019-06-09,Da nghi viec,13562619,2820798,0900504774,phanvangiang149@yahoo.com
173,Pham Minh Chi,Nam,Truong phong,Ke toan,64,2023-01-06,Da nghi viec,13743087,1701968,0698389253,phamminhchi261@yahoo.com
174,Bui Van Chi,Nu,Quan ly,Ke toan,87,2024-12-31,Dang lam viec,13840292,2239492,0976897012,buivanchi34@yahoo.com
175,Dang Quang Linh,Nu,Nhan vien,IT,73,2020-05-16,Da nghi viec,28506657,3332170,0318243374,dangquanglinh929@gmail.com
176,Bui Minh Linh,Nu,Truong phong,Ke toan,87,2019-08-10,Da nghi viec,18787597,4235514,0680310490,buiminhlinh355@yahoo.com
177,Tran Van Linh,Nu,Quan ly,HR,87,2023-09-25,Dang lam viec,11443970,2710014,0087029271,tranvanlinh393@yahoo.com
178,Dang Minh An,Nu,Truong phong,HR,83,2023-10-19,Da nghi viec,10786023,2226869,0506745728,dangminhan387@gmail.com
179,Do Thi Nam,Nu,Quan ly,IT,73,2019-02-13,Dang lam viec,20200547,6696771,0238338585,dothinam691@yahoo.com
180,Do Thanh Dung,Nam,Quan ly,HR,83,2022-04-21,Da nghi viec,16109937,2755824,0808407638,dothanhdung284@yahoo.com
181,Nguyen Thi Hoa,Nu,Quan ly,Marketing,97,2019-02-12,Da nghi viec,19098879,4505850,0365229488,nguyenthihoa643@company.vn
182,Pham Duc Trang,Nam,Quan ly,IT,64,2022-11-11,Da nghi viec,24945337,5909547,0079534708,phamductrang562@gmail.com
183,Phan Hong Linh,Nu,Truong phong,HR,66,2023-11-21,Da nghi viec,10670338,3377981,0626334349,phanhonglinh314@yahoo.com
184,Phan Van Binh,Nam,Truong phong,IT,80,2021-07-03,Da nghi viec,23195271,2336712,0982991487,phanvanbinh566@gmail.com
185,Hoang Thanh An,Nu,Nhan vien,Marketing,62,2024-02-14,Dang lam viec,12687360,4116582,0145451555,hoangthanhan137@company.vn
186,Pham Van An,Nam,Quan ly,IT,74,2018-12-15,Da nghi viec,24297039,3137744,0108880530,phamvanan319@company.vn
187,Vu Minh Khanh,Nam,Nhan vien,Marketing,83,2021-12-10,Dang lam viec,24342221,5892402,0650700807,vuminhkhanh931@yahoo.com
188,Phan Quang Hoa,Nam,Quan ly,IT,72,2023-07-02,Da nghi viec,16873568,5817876,0574777341,phanquanghoa320@gmail.com
189,Do Van Khanh,Nam,Quan ly,Ke toan,62,2024-08-25,Da nghi viec,21094708,1923582,0168695733,dovankhanh12@company.vn
190,Vu Van Khanh,Nam,Quan ly,Marketing,70,2019-06-08,Dang lam viec,14169042,5964668,0857911449,vuvankhanh943@company.vn
191,Hoang Duc Khanh,Nu,Quan ly,HR,87,2021-05-19,Dang lam viec,16882644,3525428,0604417920,hoangduckhanh213@gmail.com
192,Nguyen Duc Hoa,Nam,Nhan vien,HR,91,2020-07-10,Dang lam viec,17274508,2840958,0639021091,nguyenduchoa33@gmail.com
193,Le Thi Hoa,Nu,Quan ly,IT,95,2024-02-10,Da nghi viec,24527978,5286692,0923740700,lethihoa606@yahoo.com
194,Phan Hong Hoa,Nu,Nhan vien,Ke toan,97,2021-05-18,Da nghi viec,21729227,3047411,0964716539,phanhonghoa100@yahoo.com
